retrieval,study_ref,microbe,bacteria.code,exposed.R,syndrome,first author(s),study year,study period,study type,country,n_exposed,n_nonexposed,los,review_marker,cost_year,cost_currency,measure,se.measure,avexp,lowexp,highexp,otherexp,avnon,lownon,highnon,othernon,p,minexp,maxexp,minnon,maxnon,pvalue_flag,notes,both_los_cost,unique_id_4both,FLAG_COMPLETE,FLAG_MONEY,FLAG_EXPOSED<NON
zhen_87,"Cornejo-Juarez P, Suarez-Cuenca JA, Volkow-Fernandez P, Silva-Sanchez J,
Barrios-Camacho H, Najera-Leon E, et al. Fecal ESBL Escherichia coli carriage
as a risk factor for bacteremia in patients with hematological malignancies.
Support Care Cancer. 2016;24:253–9",Escherichia coli,eco,ESBL,COL/INF,Cornejo-Juarez,2016,10/2012-01/2014,Prospective cohort study,Mexico,63,63,0,AMR,2014,USD,mean,sd,6528,,,4348,4722,,,3174,,,,,,0.01,"cancer patients, patients with hematologic malignancies (HM) and severe neutropenia, a proportion went on to develop BSI",1,37,FALSE,FALSE,FALSE
zhen_53,"Cosgrove SE, Qi Y, Kaye KS, Harbarth S, Karchmer AW, Carmeli Y. The impact
of methicillin resistance in Staphylococcus aureus bacteremia on patient
outcomes: mortality, length of stay, and hospital charges. Infect Control
Hosp Epidemiol. 2005;26:166–74",Staphylococcus aureus,sau,methicillin,BSI,Cosgrove,2005,07/1997-06/2000,Cohort,USA,96,252,1,AMR,,,median,pvalue,9,,,,7,,,,0.045,,,,,,,1,26,FALSE,FALSE,FALSE
zhen_53,"Cosgrove SE, Qi Y, Kaye KS, Harbarth S, Karchmer AW, Carmeli Y. The impact
of methicillin resistance in Staphylococcus aureus bacteremia on patient
outcomes: mortality, length of stay, and hospital charges. Infect Control
Hosp Epidemiol. 2005;26:166–74",Staphylococcus aureus,sau,methicillin,BSI,Cosgrove,2005,07/1997-06/2000,Cohort,USA,96,252,0,AMR,2015,USD,excess_median,IQR,5502,3058,10630,,,,,,0.008,,,,,,hospital cost after culture,1,26,FALSE,FALSE,FALSE
cassini_253,"Dantas RC, Ferreira ML, Gontijo-Filho PP, Ribas RM. Pseudomonas aeruginosa bacteraemia: independent risk factors for mortality and impact of resistance on outcome. Journal of medical microbiology. Dec 2014;63(Pt 12):1679-1687.",Pseudomonas aeruginosa,pae,carbapenems,BSI,Dantas,2014,05/09-08/11,Retrospective study,Brazil,55,65,1,AMR,,,mean,range,48,4,205,,41,3,378,,,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_48,"De Jager P, Chirwa T, Naidoo S, Perovic O, Thomas J. Nosocomial outbreak of New Delhi metallo-Beta-lactamase-1-producing Gram-negative bacteria in South Africa: A case-control study. PLoS ONE. 2015;10:1–12. ",Gram-negative,gn,MBL,INF,De Jager,2015,11/2012-11/2013,Matched case-control,South Africa,38,68,1,DRI,,,mean,sd,44,,,28.2,13.3,,,9.5,,,,,,,p<0.0001,0,0,FALSE,FALSE,FALSE
cassini_193,"de Kraker ME, Wolkewitz M, Davey PG, et al. Clinical impact of antimicrobial resistance in European hospitals: excess mortality and length of hospital stay related to methicillin-resistant Staphylococcus aureus bloodstream infections. Antimicrobial agents and chemotherapy. Apr 2011;55(4):1598-1605.",Staphylococcus aureus,sau,methicillin,BSI,De Kraker,2011,07/07-06/08,Prospective parallel matched double cohort,Europe,248,618,1,AMR,,,excess,95ci,0.6,-3.7,5.3,,,,,,,,,,,,"note compared to non-infected first to then estimate excess values, sample numbers are total exposed and non-exposed, some may/were dropped for the multivariate analyses extracted for the results in this table",0,0,FALSE,FALSE,FALSE
cassini_193,"de Kraker ME, Wolkewitz M, Davey PG, et al. Clinical impact of antimicrobial resistance in European hospitals: excess mortality and length of hospital stay related to methicillin-resistant Staphylococcus aureus bloodstream infections. Antimicrobial agents and chemotherapy. Apr 2011;55(4):1598-1605.",Staphylococcus aureus,sau,methicillin,BSI,De Kraker,2011,07/07-06/08,Prospective parallel matched double cohort,Europe,248,453,1,DRI,,,excess,95ci,9.2,5.2,13.5,,,,,,,,,,,,"sample numbers are total exposed and non-exposed, some may/were dropped for the multivariate analyses extracted for the results in this table",0,0,FALSE,FALSE,FALSE
cassini_61,"de Kraker MEA, Wolkewitz M, Davey PG, et al. Burden of antimicrobial resistance in European hospitals: Excess mortality and length of hospital stay associated with bloodstream infections due to Escherichia coli resistant to third-generation cephalosporins. Journal of Antimicrobial Chemotherapy. 2011;66(2):398-407.",Escherichia coli,eco,3g cephalosporins,BSI,De Kraker,2011,07/07-06/08,Prospective parallel matched double cohort,Europe,111,1110,1,AMR,,,excess,95ci,5,0.4,10.2,,,,,,,,,,,,"note compared to non-infected first to then estimate excess values, sample numbers are total exposed and non-exposed, some may/were dropped for the multivariate analyses extracted for the results in this table",0,0,FALSE,FALSE,FALSE
cassini_61,"de Kraker MEA, Wolkewitz M, Davey PG, et al. Burden of antimicrobial resistance in European hospitals: Excess mortality and length of hospital stay associated with bloodstream infections due to Escherichia coli resistant to third-generation cephalosporins. Journal of Antimicrobial Chemotherapy. 2011;66(2):398-407.",Escherichia coli,eco,3g cephalosporins,BSI,De Kraker,2011,07/07-06/08,Prospective parallel matched double cohort,Europe,111,204,1,DRI,,,excess,95ci,7.9,3.5,13,,,,,,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_115,"Debby BD, Ganor O, Yasmin M, et al. Epidemiology of carbapenem resistant Klebsiella pneumoniae colonization in an intensive care unit. European journal of clinical microbiology & infectious diseases : official",Klebsiella pneumoniae,kpn,carbapenems,COL/INF,Debby,2012,05/07-04/ 08,Prospective cohort study,Israel,48,132,1,DRI,,,mean,sd,56.7,,,41.2,44.3,,,39.8,0.07,,,,,,"hospital acquired infections, different from cassini et al extractions as theirs was before ICU admission ",0,0,FALSE,FALSE,FALSE
cassini_75,"Denis B, Lafaurie M, Donay JL, et al. Prevalence, risk factors, and impact on clinical outcome of extended-spectrum beta-lactamase-producing Escherichia coli bacteraemia: a five-year study. International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases. Oct 2015;39:1-6.",Escherichia coli,eco,3g cephalosporins,BSI,Denis,2015,01/05-12/09,Retrospective study,France,41,41,1,AMR,,,median,range,15,10,21,,11,7,17,,0.88,,,,,,matched on date of isolation,0,0,FALSE,FALSE,FALSE
cassini_329,"DiazGranados CA, Jernigan JA. Impact of vancomycin resistance on mortality among patients with neutropenia and enterococcal bloodstream infection. J Infect Dis. Feb 15 2005;191(4):588-595.",Enterococcus faecium,efa,vancomycin,BSI,DiazGranado,2005,1994-2001,Retrospective cohort study,USA,22,61,1,AMR,,,median,range,42,24,75,,31,2,72,,0.0084,,,,,,matched on patients with neutropenia,0,0,FALSE,FALSE,FALSE
cassini_214,"Dolapo O, Dhanireddy R, Talati AJ. Trends of Staphylococcus aureus bloodstream infections in a neonatal intensive care unit from 2000-2009. BMC pediatrics. May 09 2014;14:121.",Staphylococcus aureus,sau,methicillin,BSI,Dolapo,2014,2000-2003,Retrospective study,USA,10,31,1,AMR,,,mean,sd,80.6,,,42.4,87.4,,,40.6,,,,,,,"NICU, period A",0,0,FALSE,FALSE,TRUE
cassini_214,"Dolapo O, Dhanireddy R, Talati AJ. Trends of Staphylococcus aureus bloodstream infections in a neonatal intensive care unit from 2000-2009. BMC pediatrics. May 09 2014;14:121.",Staphylococcus aureus,sau,methicillin,BSI,Dolapo,2014,2004-2009,Retrospective study,USA,64,51,1,AMR,,,mean,sd,53.6,,,36.6,55.7,,,30.2,,,,,,,"NICU, period B",0,0,FALSE,FALSE,TRUE
cassini_262,"Eagye KJ, Kuti JL, Nicolau DP. Risk factors and outcomes associated with isolation of meropenem high-level-resistant Pseudomonas aeruginosa. Infection control and hospital epidemiology. Aug 2009;30(8):746-752.",Pseudomonas aeruginosa,pae,meropenem,INF,Eagye,2009,02/06-10/06,Case-control-control study,USA,58,125,1,AMR,,,median,IQR,30,15,70,,16,6,33,,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_262,"Eagye KJ, Kuti JL, Nicolau DP. Risk factors and outcomes associated with isolation of meropenem high-level-resistant Pseudomonas aeruginosa. Infection control and hospital epidemiology. Aug 2009;30(8):746-752.",Pseudomonas aeruginosa,pae,meropenem,INF,Eagye,2009,02/06-10/06,Case-control-control study,USA,58,57,1,DRI,,,median,IQR,30,15,70,,10,6,17,,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_337,"Edmond MB, Ober JF, Weinbaum DL, et al. Vancomycin-resistant Enterococcus faecium bacteremia: risk factors for infection. Clinical infectious diseases : an official publication of the Infectious Diseases Society of America. May 1995;20(5):1126-1133.",Enterococcus faecalis and faecium,efa,vancomycin,BSI,Edmond,1995,1993,Pairwise matched case-control,USA,11,22,1,DRI,,,mean,sd,74.75,,,46.27,47.26,,,37.59,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_301,"Einarsson S, Kristjansson M, Kristinsson KG, Kjartansson G, Jonsson S. Pneumonia caused by penicillin-non-susceptible and penicillin-susceptible pneumococci in adults: a case-control study. Scandinavian journal of infectious diseases. 1998;30(3):253-256.",Streptococcus pneumoniae,spn,penicillins,RTI,Einarsson,1998,1988-1994,Retrospective case-control study,Iceland,36,36,1,AMR,,,mean,pvalue,26.8,,,,11.5,,,,0.001,,,,,,,0,0,FALSE,FALSE,FALSE
zhen_43,"Engemann JJ, Carmeli Y, Cosgrove SE, Fowler VG, Bronstein MZ, Trivette SL,
et al. Adverse clinical and economic outcomes attributable to methicillin
resistance among patients with Staphylococcus aureus surgical site
infection. Clin Infect Dis. 2003;36:592–8.",Staphylococcus aureus,sau,methicillin,SSI,Engemann,2003,01/1994-11/2000,Cohort,USA,121,165,1,AMR,,,median,IQR,23,12,38,,14,7,25,,,,,,,,p<.001,1,35,FALSE,FALSE,FALSE
zhen_43,"Engemann JJ, Carmeli Y, Cosgrove SE, Fowler VG, Bronstein MZ, Trivette SL,
et al. Adverse clinical and economic outcomes attributable to methicillin
resistance among patients with Staphylococcus aureus surgical site
infection. Clin Infect Dis. 2003;36:592–8.",Staphylococcus aureus,sau,methicillin,SSI,Engemann,2003,01/1994-11/2000,Cohort,USA,121,165,0,AMR,2003,USD,median,IQR,92363,40198,136479,,52791,29074,91805,,,,,,,,p<.001,1,35,FALSE,FALSE,FALSE
zhen_43,"Engemann JJ, Carmeli Y, Cosgrove SE, Fowler VG, Bronstein MZ, Trivette SL,
et al. Adverse clinical and economic outcomes attributable to methicillin
resistance among patients with Staphylococcus aureus surgical site
infection. Clin Infect Dis. 2003;36:592–8.",Staphylococcus,sau,methicillin,SSI,Engemann,2003,01/1994-11/2000,Cohort,USA,121,193,1,DRI,,,median,IQR,23,12,28,,5,3,8,,,,,,,,p<0.001,1,72,FALSE,FALSE,FALSE
zhen_43,"Engemann JJ, Carmeli Y, Cosgrove SE, Fowler VG, Bronstein MZ, Trivette SL,
et al. Adverse clinical and economic outcomes attributable to methicillin
resistance among patients with Staphylococcus aureus surgical site
infection. Clin Infect Dis. 2003;36:592–8.",Staphylococcus,sau,methicillin,SSI,Engemann,2003,01/1994-11/2000,Cohort,USA,121,193,0,DRI,2003,USD,median,IQR,92363,40198,136479,,29455,15637,41764,,,,,,,,p<0.001,1,72,FALSE,FALSE,FALSE
zhen_57,"Engler-Huesch S, Heister T, Mutters NT, Wolff J, Kaier K. In-hospital costs of
community-acquired colonization with multidrug-resistant organisms at a
German teaching hospital. BMC Health Serv Res. 2018;18:737.",Staphylococcus aureus,sau,methicillin,COL,Engler-Huesch,2018,01/2011-12/2014,Matched case-cohort design,Germany,453,7917,0,DRI,2014,EUR,mean,sd,5988.53,,,6061.12,5504.37,,,8125.41,,,,,,,,1,78,FALSE,FALSE,FALSE
zhen_57,"Engler-Huesch S, Heister T, Mutters NT, Wolff J, Kaier K. In-hospital costs of
community-acquired colonization with multidrug-resistant organisms at a
German teaching hospital. BMC Health Serv Res. 2018;18:737.",Staphylococcus aureus,sau,methicillin,COL,Engler-Huesch,2018,01/2011-12/2014,Matched case-cohort design,Germany,453,7917,1,DRI,,,mean,sd,10.02,,,9.21,8.93,,,9.21,,,,,,,,1,78,FALSE,FALSE,FALSE
zhen_57,"Engler-Huesch S, Heister T, Mutters NT, Wolff J, Kaier K. In-hospital costs of
community-acquired colonization with multidrug-resistant organisms at a
German teaching hospital. BMC Health Serv Res. 2018;18:737.",Enterococcus,efa,vancomycin,COL,Engler-Huesch,2018,01/2011-12/2014,Matched case-cohort design,Germany,1004,7917,0,DRI,2014,EUR,mean,sd,7390.47,,,8723.73,5504.37,,,8125.41,,,,,,,,1,79,FALSE,FALSE,FALSE
zhen_57,"Engler-Huesch S, Heister T, Mutters NT, Wolff J, Kaier K. In-hospital costs of
community-acquired colonization with multidrug-resistant organisms at a
German teaching hospital. BMC Health Serv Res. 2018;18:737.",Enterococcus,efa,vancomycin,COL,Engler-Huesch,2018,01/2011-12/2014,Matched case-cohort design,Germany,1004,7917,1,DRI,,,mean,sd,10.56,,,9.85,8.93,,,9.21,,,,,,,,1,79,FALSE,FALSE,FALSE
cassini_52,"Epstein L, Hunter JC, Arwady MA, et al. New Delhi metallo-beta-lactamase-producing carbapenem-resistant escherichia coli associated with exposure to duodenoscopes. JAMA - Journal of the American Medical Association. 2014;312(14):1447-1455.",Escherichia coli,eco,carbapenems,COL,Epstein,2014,01/13-12/13,Case-control study,USA,8,27,1,DRI,,,mean,sd,13.3,,,12,30.2,,,13.2,,1,37,14,65,,,0,0,FALSE,FALSE,TRUE
cassini_236,"Ericson JE, Popoola VO, Smith PB, et al. Burden of Invasive Staphylococcus aureus Infections in Hospitalized Infants. JAMA pediatrics. Dec 2015;169(12):1105-1111.",Staphylococcus aureus,sau,methicillin,INF,Ericson,2015,1997-2012,Multicentre retrospective study,USA,1063,2825,1,AMR,,,mean,pvalue,64,,,,64,,,,0.8,,,,,,"NICU patients, matched on NICU",0,0,FALSE,FALSE,FALSE
cassini_4,"Esterly JS, Griffith M, Qi C, Malczynski M, Postelnick MJ, Scheetz MH. Impact of carbapenem resistance and receipt of active antimicrobial therapy on clinical outcomes of Acinetobacter baumannii bloodstream infections. Antimicrobial agents and chemotherapy. Oct 2011;55(10):4844-4849.",Acinetobacter baumannii,aba,carbapenems,BSI,Esterly,2011,01/05- 12/08,Retrospective cohort study,USA,37,42,1,AMR,,,median,IQR,16,1,0,,0,0,9,,,,,,,,Prior isolation,0,0,FALSE,FALSE,FALSE
cassini_89,"Esteve-Palau E, Solande G, Sanchez F, et al. Clinical and economic impact of urinary tract infections caused by ESBL-producing Escherichia coli requiring hospitalization: A matched cohort study. The Journal of infection. Dec 2015;71(6):667-674.",Escherichia coli,eco,3g cephalosporins,UTI,Esteve-Palau,2015,08/10-07/13,Matched cohort study,Spain,60,60,1,AMR,,,mean,sd,11.6,,,1.5,7.5,,,0.8,0.02,,,,,,"matched on sex, age, date of admission",1,3,FALSE,FALSE,FALSE
naylor_57,"Esteve-Palau E, Solande G, Sanchez F, Sorli L, Montero M, Guerri R, et al. Clinical and economic impact of urinary tract infections caused by ESBL-producing Escherichia coli requiring hospitalization: A matched cohort study. Journal of Infection. 2015;71:667–74. ",Escherichia coli,eco,3g cephalosporins,UTI,Esteve-Palau,2015,08/10-07/13,Matched cohort study,Spain,60,60,0,AMR,2013,EUR,mean,95ci,3611,2619,7141,,2502,1716,4318,,0.007,,,,,,"matched on sex, age, date of admission (p<0.001)",1,3,FALSE,FALSE,FALSE
cassini_126,"Falagas ME, Rafailidis PI, Kofteridis D, et al. Risk factors of carbapenem-resistant Klebsiella pneumoniae infections: a matched case control study. The Journal of antimicrobial chemotherapy. Nov 2007;60(5):1124-1130.",Klebsiella pneumoniae,kpn,carbapenems,INF,Falagas,2007,10/00-04/06 & 10/03-04/06,Matched case-control,Greece,53,53,1,AMR,,,mean,sd,21.4,,,23.9,15.3,,,19.9,,,,,,,,0,0,FALSE,FALSE,FALSE
zhen_46,"Filice GA, Nyman JA, Lexau C, Lees CH, Bockstedt LA, Como-Sabetti K, et al.
Excess costs and utilization associated with methicillin resistance for
patients with Staphylococcus aureus infection. Infect Control Hosp
Epidemiol. 2010;31:365–73",Staphylococcus aureus,sau,methicillin,INF,Filice,2015,01/2004-06/2006.,Cohort,USA,335,390,0,AMR,2015,USD,median,range,30027,5178,99399,,7712,0,40102,,,,,,,,,0,0,FALSE,FALSE,FALSE
zhen_59,"Ford CD, Lopansri BK, Haydoura S, Snow G, Dascomb KK, Asch J, et al.
Frequency, risk factors, and outcomes of vancomycin-resistant Enterococcus
colonization and infection in patients with newly diagnosed acute leukemia:
 different patterns in patients with acute myelogenous and acute lymphoblastic leukemia. Infect Control Hosp Epidemiol. 2015;36:47–53.",Enterococcus,efa,vancomycin,BSI,Ford,2015,10/2006-12/2012,Retrospective clinical stud,USA,15,199,0,DRI,2014,USD,median,pvalue,172000,,,,86000,,,,0.0003,,,,,,newly diagnosed acute leukemia patients,1,80,FALSE,FALSE,FALSE
zhen_59,"Ford CD, Lopansri BK, Haydoura S, Snow G, Dascomb KK, Asch J, et al.
Frequency, risk factors, and outcomes of vancomycin-resistant Enterococcus
colonization and infection in patients with newly diagnosed acute leukemia:
 different patterns in patients with acute myelogenous and acute lymphoblastic leukemia. Infect Control Hosp Epidemiol. 2015;36:47–53.",Enterococcus,efa,vancomycin,BSI,Ford,2015,10/2006-12/2012,Retrospective clinical stud,USA,15,199,1,DRI,,,median,pvalue,42,,,,29,,,,0.0005,,,,,,newly diagnosed acute leukemia patients,1,80,FALSE,FALSE,FALSE
cassini_215,"Fortuin-de Smidt MC, Singh-Moodley A, Badat R, et al. Staphylococcus aureus bacteraemia in Gauteng academic hospitals, South Africa. International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases. Jan 2015;30:41-48.",Staphylococcus aureus,sau,methicillin,BSI,Fortuin-de Smidt,2012,09/12-09/13,cross sectional study,South Africa,86,154,1,AMR,,,median,IQR,38,14,64,,19,7,33,,,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_63,"Francis JR, Blyth CC, Colby S, Fagan JM, Waring J. Multidrug-resistant tuberculosis in Western Australia, 1998–2012. The Medical Journal of Australia. 2014;200:328–32. ",Tuberculosis,tb,MDR,RTI,Francis,2014,01/1998-12/2012,Restropsective case-control,Australia,16,48,1,AMR,,,mean,range,26,1,99,,13,2,41,,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_319,"Garbutt JM, Ventrapragada M, Littenberg B, Mundy LM. Association between resistance to vancomycin and death in cases of Enterococcus faecium bacteremia. Clinical infectious diseases : an official publication of the Infectious Diseases Society of America. Mar 2000;30(3):466-472.",Enterococcus faecium,efa,vancomycin,BSI,Garbutt,2000,"1995-1997","Retrospective cohort",USA,46,23,1,AMR,,,mean,sd,39.7,,,25.5,21,,,16.3,0.0019,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_74,"Garcia Hernandez A, Garcia-Vazquez E, Gomez Gomez J, Canteras M, Hernandez-Torres A, Ruiz Gomez J. [Predictive factors of ESBL versus non-ESBL Escherichia coli bacteraemia and influence of resistance on the mortality of the patients. Medicina clinica. Jan 29 2011;136(2):56-60.",Escherichia coli,eco,3g cephalosporins,BSI,Garcia-Hernandez,2011,01/06-07/07,Prospective cohort,Spain,34,119,1,AMR,,,mean,sd,24.3,,,22,20.9,,,26.7,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_13,"Garnacho-Montero J, Ortiz-Leyba C, Jimenez-Jimenez FJ, et al. Treatment of multidrug-resistant Acinetobacter baumannii ventilator-associated pneumonia (VAP) with intravenous colistin: a comparison with imipenem-susceptible VAP. Clinical infectious diseases : an official publication of the Infectious Diseases Society of America. May 1 2003;36(9):1111-1118.",Acinetobacter baumannii,aba,carbapenems,RTI,Garnacho-Montero,2003,01/97-06/01,Prospective cohort,Spain,21,14,1,AMR,,,mean,sd,45.2,,,30.7,53.9,,,50,,,,,,,"underlying conditions, cases treated with colistin, controls with imipenem-cilastatin *occurring during treatment, when signs of pneumonia remained and due to septic shock",0,0,FALSE,FALSE,TRUE
zhen_64,"Gearhart M, Martin J, Rudich S, Thomas M, Wetzel D, Solomkin J, et al.
Consequences of vancomycin-resistant Enterococcus in liver transplant
recipients: a matched control study. Clin Transpl. 2005;19:711–6.",Enterococcus,efa,vancomycin,INF,Gearhart,2005,1995-2002,Retrospective ,USA,19,38,0,DRI,2002,USD,mean,pvalue,78592,,,,35567,,,,0.07,,,,,,"Liver transplant recipients, cost year taken as final study year, reports p<0.07, but seems very specific so assumed = (<typo)",1,83,FALSE,FALSE,FALSE
zhen_64,"Gearhart M, Martin J, Rudich S, Thomas M, Wetzel D, Solomkin J, et al.
Consequences of vancomycin-resistant Enterococcus in liver transplant
recipients: a matched control study. Clin Transpl. 2005;19:711–6.",Enterococcus,efa,vancomycin,INF,Gearhart,2005,1995-2002,Retrospective ,USA,19,38,1,DRI,,,mean,pvalue,42.5,,,,21.7,,,,0.006,,,,,,"Liver transplant recipients, cost year taken as final study year, reports p<0.006, but seems very specific so assumed = (<typo)",1,83,FALSE,FALSE,FALSE
cassini_111,"Giannella M, Morelli MC, Cristini F, et al. Carbapenem-resistant Klebsiella pneumoniae colonization at liver transplantation: a management challenge. Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society. May 2014;20(5):631-633.",Klebsiella pneumoniae,kpn,carbapenems,COL/INF,Giannella,2014,06/11- 06/13,Matched case-control study,Italy,10,20,1,DRI,,,median,range,16,14,27,,20,15,62,,0.37,,,,,,"liver transplant patients, 4 patients developed a CR-KP infectionwithin a median of 33 days (interquartile range511-56 days)",0,0,FALSE,FALSE,TRUE
cassini_207,"Gonzalez C, Rubio M, Romero-Vivas J, Gonzalez M, Picazo JJ. Bacteremic pneumonia due to Staphylococcus aureus: A comparison of disease caused by methicillin-resistant and methicillin-susceptible organisms. Clinical infectious diseases : an official publication of the Infectious Diseases Society of America. Nov 1999;29(5):1171-1177.",Staphylococcus aureus,sau,methicillin,RTI,Gonzalez,1999,01/90-12/95,Retrospective cohort study,Spain,32,54,1,AMR,,,mean,sd,44.4,,,27.7,30.3,,,21.7,,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_68,"Gürntke S, Kohler C, Steinmetz I, Pfeifer Y, Eller C, Gastmeier P, et al. Molecular epidemiology of extended-spectrum beta-lactamase (ESBL)-positive Klebsiella pneumoniae from bloodstream infections and risk factors for mortality. Journal of Infection and Chemotherapy. Elsevier Ltd; 2014;20:817–9. ",Klebsiella pneumoniae,kpn,ESBL,BSI,Gurntke,2014,01/08-12/13,Cohort,Germany,66,286,1,AMR,,,median,IQR,18,9,42,,12,7,25,,0.027,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_182,"Harbarth S, Rutschmann O, Sudre P, Pittet D. Impact of methicillin resistance on the outcome of patients with bacteremia caused by Staphylococcus aureus. Arch Intern Med. Jan 26 1998;158(2):182-189.",Staphylococcus aureus,sau,methicillin,BSI,Harbarth,1998,01/89-12/95,Case-control study,Switzerland,38,38,1,AMR,,,median,range,30,1,141,,23,1,178,,,,,,,,"note from cassini - age, LOS, nr.comorbidities, McCabe score, Jackson score",0,0,FALSE,FALSE,FALSE
cassini_93,"Hayakawa K, Gattu S, Marchaim D, et al. Epidemiology and risk factors for isolation of Escherichia coli producing CTX-M-type extended-spectrum beta-lactamase in a large U.S. Medical Center. Antimicrobial agents and chemotherapy. Aug 2013;57(8):4010-4018.",Klebsiella pnuemoniae,kpn,carbapenems,INF,Hayakawa,2013,02/10-07/11,Retrospective case-case-control study,USA,319,58,1,AMR,,,median,IQR,7,4,12,,7,3,20,,0.579,,,,,,Excluding the patients who died during the hospitalization,0,0,FALSE,FALSE,FALSE
cassini_93,"Hayakawa K, Gattu S, Marchaim D, et al. Epidemiology and risk factors for isolation of Escherichia coli producing CTX-M-type extended-spectrum beta-lactamase in a large U.S. Medical Center. Antimicrobial agents and chemotherapy. Aug 2013;57(8):4010-4018.",Klebsiella pnuemoniae,kpn,carbapenems,INF,Hayakawa,2013,02/10-07/11,Retrospective case-case-control study,USA,319,319,1,DRI,,,median,IQR,7,4,12,,4,2,6,,,,,,,,"Excluding the patients who died during the hospitalization, p< 0.001",0,0,FALSE,FALSE,FALSE
cassini_15,"Henig O, Weber G, Hoshen MB, et al. Risk factors for and impact of carbapenem-resistant Acinetobacter baumannii colonization and infection: matched case-control study. European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology. Oct 2015;34(10):2063-2068.",Acinetobacter baumannii,aba,carbapenems,COL/INF,Henig,2015,01/07-12/12,Matched case-control study,Israel,1190,1190,1,DRI,,,median,range,18,0,97,,17,0,96,,,,,,,,"P<0.0001, ""Most of the CRAB isolates were from the respiratory tract (42.6 %), followed by blood (20 %), non-sterile sources, and urine.""",0,0,FALSE,FALSE,FALSE
cassini_15,"Henig O, Weber G, Hoshen MB, et al. Risk factors for and impact of carbapenem-resistant Acinetobacter baumannii colonization and infection: matched case-control study. European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology. Oct 2015;34(10):2063-2068.",Acinetobacter baumannii,aba,carbapenems,BSI,Henig,2015,01/07-12/12,Matched case-control study,Israel,241,241,1,DRI,,,median,range,16,1,85,,15,1,91,,,,,,,,non-significant,0,0,FALSE,FALSE,FALSE
cassini_201,"Hershow RC, Khayr WF, Smith NL. A comparison of clinical virulence of nosocomially acquired methicillin-resistant and methicillin-sensitive Staphylococcus aureus infections in a university hospital. Infection control and hospital epidemiology. Oct 1992;13(10):587-593.",Staphylococcus aureus,sau,methicillin,INF,Hershow,1992,01/89-12/89,Retrospective cohort study,USA,22,22,1,AMR,,,median,range,14,5,28,,10,5,21,,0.41,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_244,"Hill DM, Schroeppel TJ, Magnotti LJ, et al. Methicillin-resistant Staphylococcus aureus in early ventilator-associated pneumonia: cause for concern? Surgical infections. Dec 2013;14(6):520-524.",Staphylococcus aureus,sau,methicillin,RTI,Hill,2013,01/04-12/09,Retrospective study,USA,80,60,1,AMR,,,mean,pvalue,34,,,,35,,,,0.756,,,,,,all patients had VAP,0,0,FALSE,FALSE,TRUE
cassini_68,"Hsieh CJ, Shen YH, Hwang KP. Clinical implications, risk factors and mortality following community-onset bacteremia caused by extended-spectrum beta-lactamase (ESBL) and non-ESBL producing Escherichia coli. Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi. Jun 2010;43(3):240-248.",Escherichia coli,eco,3g cephalosporins,BSI,Hsieh,2010,01/05-12/06,Retrospective cohort study,China,19,385,1,AMR,,,mean,sd,15.5,,,8.5,6.1,,,6.9,,,,,,,"patients with community onset infection, emergency visits",0,0,FALSE,FALSE,FALSE
cassini_5,"Huang ST, Chiang MC, Kuo SC, et al. Risk factors and clinical outcomes of patients with carbapenem-resistant Acinetobacter baumannii bacteremia. Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi. Oct 2012;45(5):356-362.",Acinetobacter baumannii,aba,carbapenems,BSI,Huang,2012,06/02-12/07,Retrospective cohort study,Taiwan,62,164,1,AMR,,,mean,sd,35.9,,,33.6,28.2,,,44,,,,,,,Prior isolation,0,0,FALSE,FALSE,FALSE
zhen_90,"Huang W, Qiao F, Zhang Y, Huang J, Deng Y, Li J, et al. In-hospital medical
costs of infections caused by carbapenem-resistant Klebsiella pneumoniae.
Clin Infect Dis. 2018;672:S225–30",Klebsiella pneumoniae,kpn,carbapenems,INF,Huang,2017,01/17-12/17,Retrospective cohort study,China,267,1328,1,AMR,,,median,range,21,10,44,,18,9,46,,,,,,,,Post infection,1,39,FALSE,FALSE,FALSE
