"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"1683","High income","TTO","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","IAI","income",1,628,-14,1690,"income",1,35734,-35224,102270,18181,-19294,90769,"DRI",2.09999563985153,628,1946.79726182676
"1684","High income","TTO","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","global",1,5026,-16768,30142,"global",1,5010,-4791,15418,5018,-12090,23967,"DRI",2.09999563985153,5026,15580.5780858938
"1685","High income","TTO","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","income",3,4268,1668,9138,"income",2,82163,-24899,196344,43215,-5863,176484,"DRI",2.09999563985153,4268,13230.7813908863
"1686","High income","TTO","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",1,4627,1083,11080,NA,NA,NA,NA,NA,4627,1083,11080,"DRI",2.09999563985153,4627,14343.679825593
"1687","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","income",3,1192,453,2618,"income",2,586,-516,1659,889,-323,2263,"DRI",2.09999563985153,1192,3695.19480270302
"1688","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","income",3,1404,317,3523,NA,NA,NA,NA,NA,1404,317,3523,"DRI",2.09999563985153,1404,4352.39387835155
"1689","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","income",3,2094,716,4847,"income",2,23625,-15964,62558,12859,-9174,56300,"DRI",2.09999563985153,2094,6491.3908698491
"1690","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",5,1780,685,3885,"income",3,992,-711,2854,1386,-394,3352,"DRI",2.09999563985153,1780,5517.99223893572
"1691","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","income",1,158,-429,889,"global",2,1826,-512,4352,992,-453,3799,"DRI",2.09999563985153,158,489.799311096542
"1692","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","income",8,1895,388,5012,NA,NA,NA,NA,NA,1895,388,5012,"DRI",2.09999563985153,1895,5874.49173751865
"1693","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","income",3,1629,-11,4461,"income",5,13063,68,26220,7346,-11,24217,"DRI",2.09999563985153,1629,5049.89289731814
"1694","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","income",7,2467,903,5333,"income",4,32041,-3681,65918,17254,770,59359,"DRI",2.09999563985153,2467,7647.68924351372
"1695","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","IAI","income",1,399,2,1166,"income",1,36076,-29858,104703,18237,-20490,94651,"DRI",2.09999563985153,399,1236.89826030076
"1696","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","global",1,2771,-11909,19975,"global",1,5074,-4459,14546,3923,-8666,16406,"DRI",2.09999563985153,2771,8590.08791802859
"1697","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","income",3,2636,919,5999,"income",2,83412,-29356,197959,43024,-14785,182299,"DRI",2.09999563985153,2636,8171.58850664863
"1698","High income","URY","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",1,2881,645,7170,NA,NA,NA,NA,NA,2881,645,7170,"DRI",2.09999563985153,2881,8931.08743841226
"1699","High income","USA","AMRO A","North America","PAHO","gn","3g cephalosporins","BSI","income",3,7379,2584,15783,"income",2,589,-492,1588,3984,-301,13858,"DRI",2.09999563985153,7379,22874.8678264644
"1700","High income","USA","AMRO A","North America","PAHO","gn","carbapenems","BSI","income",3,8529,1866,21311,NA,NA,NA,NA,NA,8529,1866,21311,"DRI",2.09999563985153,8529,26439.8628122937
"1701","High income","USA","AMRO A","North America","PAHO","gp","glycopeptides","BSI","whoc",3,12945,3836,31265,"whoc",2,23121,-14649,65429,17016,-7019,55516,"DRI",2.09999563985153,12945,40129.4435578781
"1702","High income","USA","AMRO A","North America","PAHO","gp","penicillins","BSI","income",5,11000,3926,24366,"income",3,1020,-819,2885,6010,-448,20893,"DRI",2.09999563985153,11000,34099.9520383668
"1703","High income","USA","AMRO A","North America","PAHO","gn","3g cephalosporins","COL/INF","income",1,1093,-2690,6047,"global",2,1777,-558,4431,1435,-2031,5040,"DRI",2.09999563985153,1093,3388.29523435772
"1704","High income","USA","AMRO A","North America","PAHO","gn","carbapenems","COL/INF","whoc",3,19366,1065,53247,NA,NA,NA,NA,NA,19366,1065,53247,"DRI",2.09999563985153,19366,60034.5155613647
"1705","High income","USA","AMRO A","North America","PAHO","gp","glycopeptides","COL/INF","whoc",3,9844,420,26688,"whoc",5,13260,-1381,27634,12121,-912,27526,"DRI",2.09999563985153,9844,30516.3570786985
"1706","High income","USA","AMRO A","North America","PAHO","gp","penicillins","COL/INF","whoc",4,18234,6334,40164,"whoc",4,32914,-1988,67454,25574,3164,62384,"DRI",2.09999563985153,18234,56525.3204970528
"1707","High income","USA","AMRO A","North America","PAHO","gp","glycopeptides","IAI","whoc",1,2432,-30,6586,"whoc",1,34017,-30630,97878,18224,-22936,89153,"DRI",2.09999563985153,2432,7539.18939611892
"1708","High income","USA","AMRO A","North America","PAHO","gn","carbapenems","RTI","global",1,18844,-63222,110594,"global",1,4651,-5114,14396,11747,-43828,88051,"DRI",2.09999563985153,18844,58416.3178373622
"1709","High income","USA","AMRO A","North America","PAHO","gp","penicillins","SSI","whoc",2,18007,5806,41251,"whoc",2,84545,-32300,194729,51276,-12807,180149,"DRI",2.09999563985153,18007,55821.6214868065
"1710","High income","USA","AMRO A","North America","PAHO","gp","penicillins","SSTI","income",1,17714,4535,43052,NA,NA,NA,NA,NA,17714,4535,43052,"DRI",2.09999563985153,17714,54913.32276433
"1711","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","B-J","wbregion",1,7,2,16,NA,NA,NA,NA,NA,7,2,16,"AMR",2.68623198395786,7,25.803623887705
"1712","Low income","AFG","EMRO D","South Asia","EMRO","gn","3g cephalosporins","BSI","global",29,6,2,12,"global",9,316,-179,796,161,-84,701,"AMR",2.68623198395786,6,22.1173919037472
"1713","Low income","AFG","EMRO D","South Asia","EMRO","gn","carbapenems","BSI","global",13,7,2,16,NA,NA,NA,NA,NA,7,2,16,"AMR",2.68623198395786,7,25.803623887705
"1714","Low income","AFG","EMRO D","South Asia","EMRO","gp","glycopeptides","BSI","global",14,9,3,20,"global",5,2813,-474,6762,1411,-91,5998,"AMR",2.68623198395786,9,33.1760878556207
"1715","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","BSI","global",27,6,2,14,"global",12,219,-104,546,112,-39,489,"AMR",2.68623198395786,6,22.1173919037472
"1716","Low income","AFG","EMRO D","South Asia","EMRO","gn","3g cephalosporins","COL/INF","global",13,13,4,26,"global",6,411,-386,1166,212,-249,1030,"AMR",2.68623198395786,13,47.9210157914522
"1717","Low income","AFG","EMRO D","South Asia","EMRO","gn","carbapenems","COL/INF","global",21,8,3,17,"global",10,3413,105,6485,1710,3,6056,"AMR",2.68623198395786,8,29.4898558716629
"1718","Low income","AFG","EMRO D","South Asia","EMRO","gp","glycopeptides","COL/INF","global",7,6,0,16,"global",4,22153,-619,44226,11079,0,41659,"AMR",2.68623198395786,6,22.1173919037472
"1719","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","COL/INF","global",14,4,0,10,"global",7,3070,-3965,10101,1537,-2876,9115,"AMR",2.68623198395786,4,14.7449279358314
"1720","Low income","AFG","EMRO D","South Asia","EMRO","gn","3g cephalosporins","RTI","global",7,0,-6,7,NA,NA,NA,NA,NA,0,-6,7,"AMR",2.68623198395786,0,0
"1721","Low income","AFG","EMRO D","South Asia","EMRO","gn","carbapenems","RTI","global",4,2,-10,17,"global",1,6167,-5403,18010,3085,-3666,15797,"AMR",2.68623198395786,2,7.37246396791572
"1722","Low income","AFG","EMRO D","South Asia","EMRO","tb","mdr","RTI","global",3,169,-68,535,"global",1,48499,-44548,138852,24334,-27486,125715,"AMR",2.68623198395786,169,622.973205288878
"1723","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","RTI","global",13,2,0,6,"global",5,-724,-5347,4151,-361,-4588,3141,"AMR",2.68623198395786,2,7.37246396791572
"1724","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","SSI","global",2,9,3,20,"global",2,36532,-14603,83462,18271,-6188,78747,"AMR",2.68623198395786,9,33.1760878556207
"1725","Low income","AFG","EMRO D","South Asia","EMRO","gp","penicillins","SSTI","global",2,14,3,33,"global",2,618,-445,1669,316,-301,1495,"AMR",2.68623198395786,14,51.60724777541
"1726","Low income","AFG","EMRO D","South Asia","EMRO","gn","3g cephalosporins","UTI","global",4,4,1,9,"global",2,1528,-1104,4105,766,-594,3620,"AMR",2.68623198395786,4,14.7449279358314
"1727","Low income","AFG","EMRO D","South Asia","EMRO","gn","carbapenems","UTI","global",2,11,1,30,NA,NA,NA,NA,NA,11,1,30,"AMR",2.68623198395786,11,40.5485518235365
"1728","Low income","AFG","EMRO D","South Asia","EMRO","gp","glycopeptides","UTI","global",1,1,-74,68,NA,NA,NA,NA,NA,1,-74,68,"AMR",2.68623198395786,1,3.68623198395786
"1729","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,8,0,24,NA,NA,NA,NA,NA,8,0,24,"AMR",2.68623198395786,8,29.4898558716629
"1730","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,9,3,19,"global",9,330,-147,806,169,-65,705,"AMR",2.68623198395786,9,33.1760878556207
"1731","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,10,2,26,NA,NA,NA,NA,NA,10,2,26,"AMR",2.68623198395786,10,36.8623198395786
"1732","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,14,5,32,"global",5,2900,-674,6406,1457,3,5805,"AMR",2.68623198395786,14,51.60724777541
"1733","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,33,12,72,"global",12,211,-104,512,122,-62,469,"AMR",2.68623198395786,33,121.645655470609
"1734","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","wbregion",1,7,3,15,"wbregion",1,110,-108,331,58,-75,296,"AMR",2.68623198395786,7,25.803623887705
"1735","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,12,4,28,"global",10,3397,102,6340,1704,4,6076,"AMR",2.68623198395786,12,44.2347838074943
"1736","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,9,0,25,"global",4,21862,-1421,45160,10936,-1,41342,"AMR",2.68623198395786,9,33.1760878556207
"1737","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,6,1,16,"global",7,2983,-3979,10042,1494,-3055,9078,"AMR",2.68623198395786,6,22.1173919037472
"1738","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-8,10,NA,NA,NA,NA,NA,1,-8,10,"AMR",2.68623198395786,1,3.68623198395786
"1739","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,4,-12,25,"global",1,5998,-6188,17365,3001,-4033,16155,"AMR",2.68623198395786,4,14.7449279358314
"1740","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,264,-103,898,"global",1,49206,-41501,143415,24735,-27444,124204,"AMR",2.68623198395786,264,973.165243764875
"1741","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,4,1,10,"global",5,-713,-4991,3686,-355,-4440,2927,"AMR",2.68623198395786,4,14.7449279358314
"1742","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,13,5,31,"global",2,36467,-10807,87789,18240,-4374,79157,"AMR",2.68623198395786,13,47.9210157914522
"1743","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,21,4,57,"global",2,631,-500,1714,326,-311,1537,"AMR",2.68623198395786,21,77.4108716631151
"1744","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,6,2,14,"global",2,1666,-716,4075,836,-345,3632,"AMR",2.68623198395786,6,22.1173919037472
"1745","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,17,2,50,NA,NA,NA,NA,NA,17,2,50,"AMR",2.68623198395786,17,62.6659437272836
"1746","Low income","BDI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,5,-103,111,NA,NA,NA,NA,NA,5,-103,111,"AMR",2.68623198395786,5,18.4311599197893
"1747","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,26,-1,70,NA,NA,NA,NA,NA,26,-1,70,"AMR",2.68623198395786,26,95.8420315829044
"1748","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,28,10,63,"global",9,310,-166,768,169,-92,690,"AMR",2.68623198395786,28,103.21449555082
"1749","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,34,10,83,NA,NA,NA,NA,NA,34,10,83,"AMR",2.68623198395786,34,125.331887454567
"1750","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,46,16,109,"global",5,2950,-564,6420,1498,-69,5983,"AMR",2.68623198395786,46,169.566671262062
"1751","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,107,43,230,"global",12,214,-58,521,161,-22,479,"AMR",2.68623198395786,107,394.426822283491
"1752","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,23,9,49,"whoc",1,114,-106,343,68,-73,309,"AMR",2.68623198395786,23,84.7833356310308
"1753","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,38,13,87,"global",10,3383,106,6441,1710,14,5966,"AMR",2.68623198395786,38,140.076815390399
"1754","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,29,1,78,"global",4,21862,-1876,44157,10945,-1,41458,"AMR",2.68623198395786,29,106.900727534778
"1755","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,19,2,52,"global",7,3184,-3689,10391,1601,-2718,9304,"AMR",2.68623198395786,19,70.0384076951993
"1756","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,2,-28,32,NA,NA,NA,NA,NA,2,-28,32,"AMR",2.68623198395786,2,7.37246396791572
"1757","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,11,-42,74,"global",1,6113,-5934,17878,3062,-3868,15962,"AMR",2.68623198395786,11,40.5485518235365
"1758","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,849,-372,2608,"global",1,48283,-46724,141327,24566,-32246,125418,"AMR",2.68623198395786,849,3129.61095438022
"1759","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,12,1,31,"global",5,-885,-5521,3528,-436,-4748,2748,"AMR",2.68623198395786,12,44.2347838074943
"1760","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,43,14,101,"global",2,36251,-13208,84392,18147,-6866,77330,"AMR",2.68623198395786,43,158.507975310188
"1761","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,66,12,164,"global",2,623,-492,1703,345,-320,1538,"AMR",2.68623198395786,66,243.291310941219
"1762","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,20,7,48,"global",2,1586,-880,3892,803,-442,3645,"AMR",2.68623198395786,20,73.7246396791572
"1763","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,55,3,149,NA,NA,NA,NA,NA,55,3,149,"AMR",2.68623198395786,55,202.742759117682
"1764","Low income","BEN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,16,-299,343,NA,NA,NA,NA,NA,16,-299,343,"AMR",2.68623198395786,16,58.9797117433258
"1765","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,20,0,56,NA,NA,NA,NA,NA,20,0,56,"AMR",2.68623198395786,20,73.7246396791572
"1766","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,22,8,47,"global",9,316,-149,766,169,-78,713,"AMR",2.68623198395786,22,81.0971036470729
"1767","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,26,7,60,NA,NA,NA,NA,NA,26,7,60,"AMR",2.68623198395786,26,95.8420315829044
"1768","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,36,12,76,"global",5,2874,-805,6464,1455,-80,5904,"AMR",2.68623198395786,36,132.704351422483
"1769","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,84,30,169,"global",12,212,-84,512,148,-24,461,"AMR",2.68623198395786,84,309.64348665246
"1770","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,18,6,36,"whoc",1,115,-87,326,66,-61,288,"AMR",2.68623198395786,18,66.3521757112415
"1771","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,30,10,66,"global",10,3402,253,6732,1716,10,6231,"AMR",2.68623198395786,30,110.586959518736
"1772","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,23,1,58,"global",4,21604,-3574,45803,10813,-7,41093,"AMR",2.68623198395786,23,84.7833356310308
"1773","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,15,2,40,"global",7,3103,-3831,10379,1559,-2816,9051,"AMR",2.68623198395786,15,55.2934797593679
"1774","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,2,-22,25,NA,NA,NA,NA,NA,2,-22,25,"AMR",2.68623198395786,2,7.37246396791572
"1775","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,10,-34,67,"global",1,6136,-5766,17940,3073,-4439,15882,"AMR",2.68623198395786,10,36.8623198395786
"1776","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,672,-275,2268,"global",1,48111,-42734,138929,24391,-31315,125481,"AMR",2.68623198395786,672,2477.14789321968
"1777","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,9,2,24,"global",5,-738,-5493,3993,-364,-4270,3086,"AMR",2.68623198395786,9,33.1760878556207
"1778","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,34,11,75,"global",2,37662,-14055,88378,18848,-5100,78682,"AMR",2.68623198395786,34,125.331887454567
"1779","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,53,10,128,"global",2,635,-461,1792,344,-280,1604,"AMR",2.68623198395786,53,195.370295149767
"1780","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,16,5,35,"global",2,1567,-644,3976,791,-300,3682,"AMR",2.68623198395786,16,58.9797117433258
"1781","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,43,1,114,NA,NA,NA,NA,NA,43,1,114,"AMR",2.68623198395786,43,158.507975310188
"1782","Low income","BFA","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,6,-252,263,NA,NA,NA,NA,NA,6,-252,263,"AMR",2.68623198395786,6,22.1173919037472
"1783","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,19,-1,51,NA,NA,NA,NA,NA,19,-1,51,"AMR",2.68623198395786,19,70.0384076951993
"1784","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,20,7,46,"global",9,316,-156,800,168,-73,703,"AMR",2.68623198395786,20,73.7246396791572
"1785","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,24,6,60,NA,NA,NA,NA,NA,24,6,60,"AMR",2.68623198395786,24,88.4695676149886
"1786","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,33,11,79,"global",5,2874,-512,6363,1453,7,5796,"AMR",2.68623198395786,33,121.645655470609
"1787","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,77,29,170,"global",12,212,-96,537,145,-43,471,"AMR",2.68623198395786,77,283.839862764755
"1788","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","wbregion",1,16,6,35,"wbregion",1,113,-104,335,65,-78,303,"AMR",2.68623198395786,16,58.9797117433258
"1789","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,27,9,63,"global",10,3442,362,6931,1734,10,6366,"AMR",2.68623198395786,27,99.5282635668622
"1790","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,21,1,58,"global",4,21436,-1643,45709,10729,-1,42028,"AMR",2.68623198395786,21,77.4108716631151
"1791","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,13,1,36,"global",7,3034,-4525,10710,1524,-3257,9671,"AMR",2.68623198395786,13,47.9210157914522
"1792","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,2,-18,24,NA,NA,NA,NA,NA,2,-18,24,"AMR",2.68623198395786,2,7.37246396791572
"1793","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,9,-33,56,"global",1,6583,-5835,18826,3296,-3846,16737,"AMR",2.68623198395786,9,33.1760878556207
"1794","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,614,-234,2133,"global",1,48463,-50189,138679,24539,-34382,127416,"AMR",2.68623198395786,614,2263.34643815013
"1795","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,9,1,23,"global",5,-744,-4846,3446,-368,-4252,2767,"AMR",2.68623198395786,9,33.1760878556207
"1796","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,31,10,71,"global",2,36213,-14527,84057,18122,-5472,78611,"AMR",2.68623198395786,31,114.273191502694
"1797","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,48,10,120,"global",2,639,-470,1772,343,-258,1575,"AMR",2.68623198395786,48,176.939135229977
"1798","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,14,5,34,"global",2,1610,-865,3821,812,-424,3478,"AMR",2.68623198395786,14,51.60724777541
"1799","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,39,0,107,NA,NA,NA,NA,NA,39,0,107,"AMR",2.68623198395786,39,143.763047374357
"1800","Low income","CAF","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,9,-215,282,NA,NA,NA,NA,NA,9,-215,282,"AMR",2.68623198395786,9,33.1760878556207
"1801","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,8,0,22,NA,NA,NA,NA,NA,8,0,22,"AMR",2.68623198395786,8,29.4898558716629
"1802","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,8,3,19,"global",9,315,-151,750,161,-86,686,"AMR",2.68623198395786,8,29.4898558716629
"1803","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,10,3,25,NA,NA,NA,NA,NA,10,3,25,"AMR",2.68623198395786,10,36.8623198395786
"1804","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,14,5,31,"global",5,2837,-553,6401,1425,-109,5802,"AMR",2.68623198395786,14,51.60724777541
"1805","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,32,11,70,"global",12,218,-78,518,125,-30,465,"AMR",2.68623198395786,32,117.959423486652
"1806","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","wbregion",1,7,2,14,"wbregion",1,110,-103,331,59,-69,291,"AMR",2.68623198395786,7,25.803623887705
"1807","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,11,3,25,"global",10,3391,178,6470,1701,4,6161,"AMR",2.68623198395786,11,40.5485518235365
"1808","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,8,1,24,"global",4,22439,-1096,45486,11224,0,41879,"AMR",2.68623198395786,8,29.4898558716629
"1809","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,6,1,15,"global",7,2942,-4085,10483,1474,-2923,9073,"AMR",2.68623198395786,6,22.1173919037472
"1810","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-8,10,NA,NA,NA,NA,NA,1,-8,10,"AMR",2.68623198395786,1,3.68623198395786
"1811","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,4,-14,24,"global",1,6024,-5203,17803,3014,-3619,16029,"AMR",2.68623198395786,4,14.7449279358314
"1812","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,247,-103,834,"global",1,47587,-44346,139650,23917,-27317,124223,"AMR",2.68623198395786,247,910.499300037591
"1813","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,4,1,9,"global",5,-691,-5243,3589,-344,-4368,2965,"AMR",2.68623198395786,4,14.7449279358314
"1814","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,13,4,29,"global",2,36841,-14046,85466,18427,-6983,76813,"AMR",2.68623198395786,13,47.9210157914522
