"","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","World Bank Income Status","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both"
"1039","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gp","penicillins","RTI","income",3,43,2,120,"global",5,-903,-5120,3383,-430,-4525,2857
"1040","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gp","penicillins","SSI","global",2,227,76,491,"global",2,36842,-13734,87448,18535,-5653,76779
"1041","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gp","penicillins","SSTI","whoc",1,580,126,1296,"whoc",1,5717,-5574,17229,3149,-3958,15073
"1042","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gn","3g cephalosporins","UTI","wbregion",2,133,51,275,"global",2,1572,-815,4063,852,-424,3659
"1043","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gn","carbapenems","UTI","global",2,290,0,749,NA,NA,NA,NA,NA,290,0,749
"1044","FJI","WPRO B","East Asia & Pacific","WPRO","Upper middle income","gp","glycopeptides","UTI","global",1,100,-1791,1914,NA,NA,NA,NA,NA,100,-1791,1914
"1045","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","B-J","income",1,375,-3767,4842,NA,NA,NA,NA,NA,375,-3767,4842
"1046","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","BSI","whoc",13,2505,651,6187,"whoc",4,1678,-6571,9600,2092,-5156,8418
"1047","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","BSI","whoc",5,4198,839,10733,NA,NA,NA,NA,NA,4198,839,10733
"1048","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","BSI","whoc",2,8943,681,24961,"whoc",1,37203,-33849,111325,23073,-22318,97944
"1049","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","BSI","whoc",6,1512,-3944,8547,"whoc",1,1760,-1384,5245,1636,-3018,7256
"1050","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","COL/INF","income",6,8988,3062,22324,"income",2,26337,-16492,65619,17662,-9770,61198
"1051","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","COL/INF","whoc",1,3455,-1171,11190,"income",6,19180,728,38784,11318,-837,34978
"1052","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","COL/INF","whoc",1,6239,-638,18672,"whoc",1,30095,-32462,91601,18167,-22060,83887
"1053","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","COL/INF","whoc",2,6300,2461,13618,"whoc",2,9926,-3957,23195,8113,-1250,21175
"1054","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","RTI","income",6,-551,-2660,1074,NA,NA,NA,NA,NA,-551,-2660,1074
"1055","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","RTI","whoc",2,3613,-1308,11883,"global",1,6163,-5726,17895,4888,-3887,16717
"1056","FRA","EURO A","Europe & Central Asia","EURO","High income","tb","mdr","RTI","whoc",1,39278,4519,101874,"income",1,46656,-51887,142284,42967,-29505,130829
"1057","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","RTI","whoc",3,7128,2271,16581,"whoc",1,33913,-29480,98134,20521,-17749,89116
"1058","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSI","income",2,4331,1388,9988,"income",2,36515,-13285,88263,20423,-6254,79127
"1059","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSTI","income",1,5375,1532,12880,"income",1,583,-468,1671,3778,-222,12163
"1060","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","UTI","whoc",1,2351,896,5092,"whoc",1,1276,-1256,3835,1813,-908,4548
"1061","FRA","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","UTI","whoc",1,3474,-638,11146,NA,NA,NA,NA,NA,3474,-638,11146
"1062","FRA","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","UTI","income",1,1564,-28639,33082,NA,NA,NA,NA,NA,1564,-28639,33082
"1063","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","B-J","income",1,263,89,621,NA,NA,NA,NA,NA,263,89,621
"1064","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","3g cephalosporins","BSI","whoc",3,415,147,922,"wbregion",2,874,-711,2250,645,-414,2026
"1065","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","carbapenems","BSI","whoc",1,259,-29,711,NA,NA,NA,NA,NA,259,-29,711
"1066","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","glycopeptides","BSI","whoc",1,104,-486,786,"wbregion",1,20629,-22967,66236,10366,-16232,56005
"1067","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","BSI","whoc",4,725,214,1663,"whoc",2,1243,-1110,3382,984,-784,3079
"1068","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","3g cephalosporins","COL/INF","income",1,173,67,386,"income",1,117,-98,338,145,-63,359
"1069","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","carbapenems","COL/INF","whoc",4,244,-12,694,"whoc",3,3651,-1082,8007,1947,-290,7329
"1070","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","glycopeptides","COL/INF","wbregion",1,360,-88,1047,"global",4,22243,-1071,45927,11301,-103,41883
"1071","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","COL/INF","whoc",1,461,-3286,4341,"global",7,3166,-4108,9937,1813,-3663,8964
"1072","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","3g cephalosporins","RTI","whoc",1,507,165,1164,NA,NA,NA,NA,NA,507,165,1164
"1073","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","carbapenems","RTI","wbregion",2,102,-1356,1720,"wbregion",1,6257,-6215,18800,3180,-4016,16516
"1074","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","tb","mdr","RTI","wbregion",1,564,0,1545,"global",1,47750,-60320,143607,24157,-39408,128675
"1075","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","RTI","wbregion",2,29,-284,344,"global",5,-915,-5293,3213,-443,-4676,2676
"1076","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","SSI","global",2,334,112,777,"global",2,35852,-15868,85454,18093,-4958,78797
"1077","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","penicillins","SSTI","whoc",1,827,205,2052,"whoc",1,5625,-4785,16189,3226,-3349,14695
"1078","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","3g cephalosporins","UTI","wbregion",2,190,70,417,"global",2,1556,-866,3900,873,-441,3468
"1079","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gn","carbapenems","UTI","global",2,413,23,1040,NA,NA,NA,NA,NA,413,23,1040
"1080","FSM","WPRO B","East Asia & Pacific","WPRO","Lower middle income","gp","glycopeptides","UTI","global",1,69,-2382,2477,NA,NA,NA,NA,NA,69,-2382,2477
"1081","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","B-J","income",1,1279,-1342,5234,NA,NA,NA,NA,NA,1279,-1342,5234
"1082","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","3g cephalosporins","BSI","income",13,484,140,1188,"income",3,322,-126,791,403,-53,990
"1083","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","carbapenems","BSI","income",3,-269,-1939,985,NA,NA,NA,NA,NA,-269,-1939,985
"1084","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","glycopeptides","BSI","global",14,782,255,1931,"global",5,2739,-729,6268,1761,-284,5792
"1085","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","BSI","income",6,595,-12,1723,"income",2,127,-111,355,361,-89,1438
"1086","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","3g cephalosporins","COL/INF","whoc",1,387,140,883,"whoc",1,108,-120,320,248,-74,746
"1087","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","carbapenems","COL/INF","income",7,312,80,735,"income",4,2950,-222,6119,1631,72,5569
"1088","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","glycopeptides","COL/INF","global",7,487,8,1307,"global",4,21866,-1559,45365,11177,-92,41647
"1089","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","COL/INF","income",1,97,35,230,"global",7,2784,-4512,9876,1440,-3052,8841
"1090","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","3g cephalosporins","RTI","income",7,37,-430,486,NA,NA,NA,NA,NA,37,-430,486
"1091","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","carbapenems","RTI","income",1,4205,-3384,15243,"income",1,5991,-6251,18349,5098,-5105,17535
"1092","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","tb","mdr","RTI","global",3,14368,-5216,46817,"global",1,45730,-48350,143113,30049,-27874,129502
"1093","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","RTI","income",3,141,4,412,"global",5,-705,-4664,3723,-282,-4122,2849
"1094","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","SSI","global",2,737,229,1853,"global",2,35575,-16258,87608,18156,-7168,81207
"1095","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","penicillins","SSTI","income",2,1165,232,2949,"income",1,5660,-4910,16329,3413,-3241,15060
"1096","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","3g cephalosporins","UTI","global",4,343,112,841,"global",2,1606,-937,3968,975,-506,3607
"1097","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gn","carbapenems","UTI","global",2,941,51,2729,NA,NA,NA,NA,NA,941,51,2729
"1098","GAB","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","gp","glycopeptides","UTI","global",1,231,-5495,6527,NA,NA,NA,NA,NA,231,-5495,6527
"1099","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","B-J","income",1,279,-4203,5215,NA,NA,NA,NA,NA,279,-4203,5215
"1100","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","BSI","whoc",13,2495,672,6169,"whoc",4,1382,-6700,9863,1938,-5329,8467
"1101","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","BSI","whoc",5,4259,958,10679,NA,NA,NA,NA,NA,4259,958,10679
"1102","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","BSI","whoc",2,9000,1368,23205,"whoc",1,34916,-38124,102750,21958,-24093,93626
"1103","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","BSI","whoc",6,1498,-5297,9406,"whoc",1,1778,-1651,5248,1638,-3925,7709
"1104","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","COL/INF","income",6,9111,2944,21198,"income",2,26113,-11688,65282,17612,-7253,60043
"1105","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","COL/INF","whoc",1,3482,-1225,11842,"income",6,19488,-651,37685,11485,-1203,35090
"1106","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","COL/INF","whoc",1,6262,-733,19971,"whoc",1,29682,-30003,86881,17972,-20185,79215
"1107","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","COL/INF","whoc",2,6426,2500,13639,"whoc",2,9744,-3569,22945,8085,-1334,21156
"1108","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","RTI","income",6,-612,-2908,1091,NA,NA,NA,NA,NA,-612,-2908,1091
"1109","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","RTI","whoc",2,3520,-1495,11241,"global",1,5835,-5895,18218,4678,-3978,16350
"1110","GBR","EURO A","Europe & Central Asia","EURO","High income","tb","mdr","RTI","whoc",1,39141,3923,100920,"income",1,45940,-44573,136865,42541,-30198,124590
"1111","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","RTI","whoc",3,7381,2289,17482,"whoc",1,32890,-32055,98389,20136,-20767,89214
"1112","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSI","income",2,4350,1476,9931,"income",2,35634,-14632,84204,19992,-4904,77818
"1113","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSTI","income",1,5386,1510,13402,"income",1,580,-496,1663,3784,-249,11954
"1114","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","UTI","whoc",1,2404,924,5126,"whoc",1,1336,-1243,3886,1870,-814,4638
"1115","GBR","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","UTI","whoc",1,3356,-941,10877,NA,NA,NA,NA,NA,3356,-941,10877
"1116","GBR","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","UTI","income",1,2459,-27467,37535,NA,NA,NA,NA,NA,2459,-27467,37535
"1117","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","B-J","income",1,317,-344,1212,NA,NA,NA,NA,NA,317,-344,1212
"1118","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","BSI","income",13,121,36,307,"income",3,320,-131,795,220,-59,706
"1119","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","BSI","income",3,-63,-442,257,NA,NA,NA,NA,NA,-63,-442,257
"1120","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","BSI","wbregion",2,363,39,944,"wbregion",1,36208,-33132,110247,18286,-22739,95245
"1121","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","BSI","income",6,147,-11,408,"income",2,129,-125,364,138,-84,389
"1122","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","COL/INF","income",6,226,86,486,"income",3,1232,-218,2602,729,2,2435
"1123","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","COL/INF","whoc",3,132,35,333,"income",4,3029,-395,6507,1581,24,5886
"1124","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","COL/INF","wbregion",1,260,-37,779,"wbregion",1,31345,-28946,94995,15803,-20470,81176
"1125","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","COL/INF","income",1,24,9,52,"wbregion",2,10377,-3287,23001,5200,-542,21048
"1126","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","RTI","income",7,8,-118,121,NA,NA,NA,NA,NA,8,-118,121
"1127","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","RTI","income",1,1081,-592,3755,"income",1,6197,-6431,18684,3639,-4081,16882
"1128","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","tb","mdr","RTI","wbregion",2,5156,-1455,16872,"wbregion",1,47731,-49653,139341,26444,-29971,123396
"1129","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","RTI","income",3,35,1,104,"wbregion",1,33527,-29283,90928,16781,-21999,83811
"1130","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSI","global",2,177,63,416,"global",2,37201,-11188,85367,18689,-1541,77055
"1131","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSTI","income",2,281,57,695,"income",1,5605,-5042,17154,2056,-2617,13939
"1132","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","UTI","wbregion",1,97,40,212,"wbregion",1,1353,-1252,3901,725,-752,3478
"1133","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","UTI","global",2,230,7,631,NA,NA,NA,NA,NA,230,7,631
"1134","GEO","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","UTI","global",1,70,-1228,1501,NA,NA,NA,NA,NA,70,-1228,1501
"1135","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","B-J","income",1,46,15,106,NA,NA,NA,NA,NA,46,15,106
"1136","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","BSI","global",29,37,13,81,"global",9,317,-177,799,177,-89,738
"1137","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","BSI","global",13,44,12,107,NA,NA,NA,NA,NA,44,12,107
"1138","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","BSI","global",14,61,21,136,"global",5,2840,-845,6417,1451,-136,5815
"1139","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","BSI","wbregion",1,143,54,293,"global",12,207,-107,502,175,-44,469
"1140","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","COL/INF","whoc",1,30,12,62,"whoc",1,111,-114,332,71,-71,293
"1141","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","COL/INF","global",21,50,16,113,"global",10,3445,179,6354,1747,17,5983
"1142","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","COL/INF","global",7,39,5,110,"global",4,21371,-634,45469,10705,5,41957
"1143","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","COL/INF","global",14,25,3,62,"global",7,3159,-3876,10238,1592,-2969,9191
"1144","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","RTI","global",7,2,-36,42,NA,NA,NA,NA,NA,2,-36,42
"1145","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","RTI","global",4,16,-61,102,"global",1,6463,-4742,18437,3240,-3256,16462
"1146","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","tb","mdr","RTI","global",3,1134,-438,3642,"global",1,49974,-41917,139960,25554,-28820,126732
"1147","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","RTI","global",13,16,2,42,"global",5,-807,-5116,3588,-395,-4551,2887
"1148","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","SSI","global",2,58,19,132,"global",2,36681,-15812,86531,18369,-5824,76772
"1149","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","SSTI","global",2,91,23,227,"global",2,645,-487,1684,368,-303,1540
"1150","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","UTI","global",4,27,9,60,"global",2,1636,-811,3967,832,-349,3639
"1151","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","UTI","global",2,73,6,195,NA,NA,NA,NA,NA,73,6,195
"1152","GHA","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","UTI","global",1,12,-386,456,NA,NA,NA,NA,NA,12,-386,456
"1153","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","B-J","global",3,18,0,48,NA,NA,NA,NA,NA,18,0,48
"1154","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","BSI","global",29,19,7,40,"global",9,324,-140,781,171,-65,701
"1155","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","BSI","global",13,23,6,54,NA,NA,NA,NA,NA,23,6,54
"1156","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","BSI","global",14,31,11,66,"global",5,2915,-643,6403,1473,-38,5865
"1157","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","BSI","wbregion",1,71,30,148,"global",12,223,-86,514,147,-42,483
"1158","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","COL/INF","whoc",1,15,6,30,"whoc",1,118,-113,350,66,-70,305
"1159","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","COL/INF","global",21,25,8,52,"global",10,3360,285,6588,1692,9,6143
"1160","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","COL/INF","global",7,19,0,52,"global",4,22178,-1697,45909,11099,-1,42040
"1161","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","COL/INF","global",14,12,1,31,"global",7,3033,-3888,9865,1522,-3068,8930
"1162","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","RTI","global",7,1,-19,20,NA,NA,NA,NA,NA,1,-19,20
"1163","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","RTI","global",4,8,-30,44,"global",1,6142,-6340,18986,3075,-4642,16878
"1164","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","tb","mdr","RTI","global",3,562,-186,1719,"global",1,47696,-43249,136412,24129,-27751,123283
"1165","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","RTI","global",13,8,1,21,"global",5,-821,-5520,3396,-406,-4467,2720
"1166","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","SSI","global",2,29,10,64,"global",2,36602,-15940,83842,18316,-5220,77419
"1167","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","SSTI","global",2,45,10,112,"global",2,636,-435,1757,341,-235,1565
"1168","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","UTI","global",4,13,4,29,"global",2,1596,-809,3921,805,-379,3630
"1169","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","UTI","global",2,37,2,95,NA,NA,NA,NA,NA,37,2,95
"1170","GIN","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","UTI","global",1,12,-185,235,NA,NA,NA,NA,NA,12,-185,235
"1171","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","B-J","global",3,27,1,74,NA,NA,NA,NA,NA,27,1,74
"1172","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","BSI","global",29,30,11,67,"global",9,311,-113,750,170,-65,680
"1173","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","BSI","global",13,36,11,87,NA,NA,NA,NA,NA,36,11,87
"1174","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","BSI","global",14,49,17,115,"global",5,2865,-533,6610,1457,9,5896
"1175","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","BSI","wbregion",1,114,45,242,"global",12,221,-71,505,167,-20,458
"1176","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","COL/INF","whoc",1,24,10,51,"whoc",1,116,-97,336,70,-63,299
"1177","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","COL/INF","global",21,40,14,92,"global",10,3397,231,6735,1718,15,6045
"1178","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","COL/INF","global",7,30,1,83,"global",4,22183,-1990,45811,11107,-2,41894
"1179","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","COL/INF","global",14,20,3,54,"global",7,3125,-3925,9784,1572,-2934,8719
"1180","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","RTI","global",7,1,-28,33,NA,NA,NA,NA,NA,1,-28,33
"1181","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","RTI","global",4,13,-44,84,"global",1,6048,-6327,18881,3031,-4005,16151
"1182","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","tb","mdr","RTI","global",3,891,-336,2737,"global",1,48712,-40894,140244,24801,-26119,126950
"1183","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","RTI","global",13,13,2,33,"global",5,-878,-5346,3622,-433,-4648,2786
"1184","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","SSI","global",2,45,16,96,"global",2,36689,-14307,86239,18367,-4216,78239
"1185","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","SSTI","global",2,71,13,169,"global",2,643,-427,1790,357,-265,1610
"1186","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","UTI","global",4,22,7,51,"global",2,1562,-596,3908,792,-333,3533
"1187","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","UTI","global",2,58,3,161,NA,NA,NA,NA,NA,58,3,161
"1188","GMB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","UTI","global",1,15,-324,398,NA,NA,NA,NA,NA,15,-324,398
"1189","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","B-J","global",3,21,-1,61,NA,NA,NA,NA,NA,21,-1,61
"1190","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","BSI","global",29,22,7,51,"global",9,321,-154,785,172,-74,714
"1191","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","BSI","global",13,26,8,66,NA,NA,NA,NA,NA,26,8,66
"1192","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","BSI","global",14,36,12,89,"global",5,2765,-398,6276,1400,10,5722
"1193","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","BSI","wbregion",1,85,31,198,"global",12,222,-64,512,153,-11,468
"1194","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","COL/INF","whoc",1,18,7,41,"whoc",1,115,-102,344,66,-68,297
"1195","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","COL/INF","global",21,30,10,73,"global",10,3475,297,6618,1752,11,6268
"1196","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","glycopeptides","COL/INF","global",7,22,1,63,"global",4,21380,-1311,45091,10701,-1,41626
"1197","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","COL/INF","global",14,14,1,38,"global",7,3080,-3604,10167,1547,-2766,8974
"1198","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","3g cephalosporins","RTI","global",7,1,-22,23,NA,NA,NA,NA,NA,1,-22,23
"1199","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gn","carbapenems","RTI","global",4,10,-33,61,"global",1,5947,-5584,17929,2978,-4208,15866
"1200","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","tb","mdr","RTI","global",3,649,-253,2167,"global",1,45481,-47627,139404,23065,-33110,124517
"1201","GNB","AFRO D","Sub-Saharan Africa","AFRO","Low income","gp","penicillins","RTI","global",13,9,1,24,"global",5,-770,-4994,3412,-381,-4260,2826
